topic,word,weight
0,oracle,0.011
0,infected,0.003
0,epyc,0.003
0,fmc,0.003
0,yeah,0.002
0,discussed,0.002
0,finest,0.002
0,xilinx,0.002
0,wearable,0.002
0,accelerated,0.002
1,photo,0.004
1,oversold,0.003
1,allocation,0.003
1,deadly,0.003
1,congress,0.003
1,stratasys,0.003
1,alert,0.002
1,flashpoint,0.002
1,realization,0.002
1,seek,0.002
2,ssd,0.007
2,oracle,0.007
2,java,0.006
2,adobe,0.006
2,android,0.005
2,sandisk,0.005
2,peg,0.005
2,court,0.004
2,fair,0.003
2,forma,0.003
3,genius,0.003
3,gmv,0.003
3,evp,0.003
3,gen,0.003
3,epyc,0.003
3,ssds,0.002
3,ebay,0.002
3,dueros,0.002
3,founder,0.002
3,turing,0.002
4,allocation,0.006
4,phlx,0.005
4,tracking,0.005
4,bh,0.005
4,aum,0.004
4,esports,0.004
4,vector,0.004
4,vaneck,0.004
4,amassed,0.004
4,signoff,0.003
5,lisa,0.008
5,thank,0.005
5,beta,0.004
5,su,0.004
5,bitmain,0.004
5,hedge,0.003
5,asic,0.003
5,bp,0.003
5,agency,0.003
5,entry,0.002
6,sequential,0.004
6,contracted,0.004
6,visualization,0.003
6,guidancefor,0.003
6,traction,0.003
6,buyback,0.003
6,exited,0.003
6,buyout,0.003
6,witnessing,0.003
6,adobe,0.002
7,tilray,0.006
7,anthem,0.005
7,amkor,0.004
7,synopsys,0.003
7,pinterest,0.002
7,cannabis,0.002
7,tlry,0.002
7,covering,0.002
7,dalio,0.002
7,outfitter,0.002
8,ml,0.013
8,israel,0.007
8,instance,0.007
8,lipacis,0.004
8,jefferies,0.004
8,reiterates,0.003
8,parallel,0.003
8,protium,0.003
8,workload,0.003
8,verification,0.003
9,dxc,0.011
9,epyc,0.007
9,merchant,0.005
9,lira,0.004
9,turkish,0.004
9,ryan,0.004
9,turkey,0.004
9,arista,0.004
9,scott,0.003
9,anet,0.003
10,mutual,0.006
10,amgen,0.005
10,fortinet,0.005
10,expedia,0.004
10,covering,0.004
10,seagate,0.003
10,macy,0.003
10,invests,0.003
10,j,0.003
10,sheraz,0.003
11,kimball,0.006
11,therapeutic,0.004
11,saic,0.003
11,slim,0.003
11,socs,0.003
11,gill,0.003
11,ada,0.003
11,ctrl,0.002
11,instinet,0.002
11,aviation,0.002
12,aurora,0.004
12,beta,0.004
12,transmission,0.003
12,qplum,0.003
12,allison,0.003
12,orin,0.003
12,visitor,0.003
12,xe,0.002
12,robot,0.002
12,recognition,0.002
13,ethernet,0.005
13,activision,0.004
13,maxim,0.003
13,avnet,0.003
13,ca,0.003
13,melt,0.003
13,adapter,0.003
13,linear,0.003
13,vishay,0.003
13,esports,0.003
14,ethernet,0.007
14,broadridge,0.006
14,proofpoint,0.005
14,robot,0.005
14,altair,0.004
14,gogo,0.003
14,cobots,0.003
14,polaris,0.002
14,lab,0.002
14,file,0.002
15,accenture,0.008
15,agilent,0.007
15,packard,0.006
15,hewlett,0.004
15,hpe,0.004
15,peg,0.004
15,programmable,0.003
15,xeon,0.003
15,scalable,0.003
15,underperformed,0.003
16,cognizant,0.01
16,mutual,0.006
16,groupon,0.004
16,coin,0.003
16,court,0.002
16,housing,0.002
16,ytd,0.002
16,bernanke,0.002
16,investigation,0.002
16,gan,0.002
17,hubspot,0.016
17,alto,0.011
17,csra,0.009
17,gopro,0.008
17,palo,0.007
17,hub,0.003
17,potash,0.003
17,msci,0.003
17,billing,0.003
17,retention,0.003
18,ge,0.004
18,gun,0.004
18,capitalization,0.003
18,bln,0.002
18,soar,0.002
18,swing,0.002
18,discount,0.002
18,amtech,0.002
18,mba,0.002
18,payout,0.002
19,pivot,0.009
19,saudi,0.008
19,extension,0.005
19,arabia,0.005
19,dave,0.005
19,iran,0.004
19,wti,0.004
19,cpi,0.004
19,est,0.004
19,statistic,0.004
20,gtx,0.007
20,implied,0.007
20,paylocity,0.004
20,literally,0.004
20,saas,0.004
20,rtx,0.004
20,connectivity,0.003
20,hdd,0.003
20,tegra,0.003
20,biology,0.003
21,ethereum,0.004
21,arora,0.003
21,barclays,0.003
21,underweight,0.003
21,volta,0.002
21,theme,0.002
21,horizon,0.002
21,arya,0.002
21,priceline,0.002
21,petroleum,0.002
22,estimize,0.01
22,citrix,0.006
22,corning,0.006
22,flashstack,0.005
22,accurate,0.005
22,tends,0.004
22,fossil,0.004
22,glass,0.003
22,asc,0.003
22,johnson,0.003
23,rx,0.007
23,sun,0.006
23,constant,0.005
23,xt,0.005
23,prosecutor,0.004
23,organic,0.004
23,ti,0.003
23,notebook,0.003
23,caci,0.003
23,flexibility,0.002
24,fortive,0.005
24,brian,0.004
24,rut,0.003
24,zumiez,0.003
24,strike,0.003
24,employment,0.002
24,agilent,0.002
24,okta,0.002
24,blackberry,0.002
24,israel,0.002
25,instagram,0.004
25,truecar,0.003
25,zettabyte,0.003
25,mcafee,0.003
25,cyber,0.002
25,dealer,0.002
25,huntington,0.002
25,advertiser,0.002
25,stoxx,0.002
25,downtrend,0.002
26,arrow,0.01
26,maintenance,0.005
26,chipsets,0.005
26,plummeting,0.003
26,accounted,0.003
26,zte,0.003
26,array,0.003
26,cybersecurity,0.003
26,fortune,0.003
26,modem,0.003
27,apollo,0.005
27,fireeye,0.004
27,bosch,0.003
27,daimler,0.002
27,mercedes,0.002
27,resort,0.002
27,taxi,0.002
27,pound,0.002
27,packard,0.002
27,referendum,0.002
28,vertex,0.004
28,cf,0.003
28,hat,0.003
28,lesson,0.003
28,epidemic,0.003
28,quantitative,0.003
28,continuous,0.003
28,affect,0.002
28,broker,0.002
28,adviser,0.002
29,su,0.006
29,lisa,0.005
29,sony,0.005
29,soxx,0.004
29,dave,0.003
29,linkedin,0.003
29,apr,0.003
29,smh,0.003
29,psi,0.003
29,slated,0.003
30,dma,0.006
30,dave,0.005
30,edged,0.004
30,cpi,0.003
30,jobless,0.003
30,stimulus,0.003
30,ppi,0.003
30,uptrend,0.003
30,eurozone,0.003
30,unemployment,0.003
31,cree,0.009
31,xilinx,0.004
31,verification,0.004
31,pandora,0.004
31,box,0.004
31,omen,0.004
31,excluding,0.003
31,lighting,0.003
31,domain,0.003
31,beneath,0.003
32,coronavirus,0.011
32,virus,0.008
32,marvell,0.006
32,outbreak,0.004
32,ethernet,0.003
32,looked,0.002
32,ameritrade,0.002
32,seemed,0.002
32,td,0.002
32,su,0.002
33,ambarella,0.007
33,whisper,0.005
33,bolan,0.005
33,write,0.004
33,overview,0.004
33,stadium,0.004
33,movie,0.003
33,laser,0.003
33,nice,0.003
33,rtx,0.003
34,yelp,0.005
34,roic,0.005
34,teradata,0.004
34,facial,0.004
34,android,0.004
34,grubhub,0.004
34,recognition,0.004
34,voice,0.003
34,stable,0.003
34,alexa,0.003
35,rtx,0.008
35,notebook,0.004
35,super,0.004
35,j,0.004
35,johnson,0.004
35,accurate,0.003
35,rx,0.003
35,tracing,0.003
35,robot,0.003
35,proposed,0.003
36,screening,0.006
36,affiliated,0.006
36,bubble,0.005
36,mania,0.005
36,wizard,0.005
36,broker,0.005
36,licensing,0.004
36,affiliate,0.004
36,tip,0.004
36,dealer,0.003
37,simulation,0.004
37,compare,0.003
37,constant,0.003
37,engineering,0.002
37,cuban,0.002
37,autoliv,0.002
37,extension,0.002
37,suggesting,0.002
37,roof,0.002
37,identity,0.002
38,skechers,0.004
38,tripadvisor,0.003
38,priceline,0.003
38,decker,0.003
38,neutral,0.002
38,q,0.002
38,unlike,0.002
38,hotel,0.002
38,chipset,0.002
38,unimpressive,0.002
39,rig,0.006
39,juniper,0.005
39,vmware,0.005
39,jnpr,0.004
39,estimize,0.004
39,hughes,0.004
39,baker,0.003
39,publish,0.003
39,steel,0.003
39,eia,0.003
40,sma,0.012
40,beta,0.006
40,tencent,0.006
40,ametek,0.005
40,flashblade,0.004
40,nvme,0.004
40,id,0.004
40,pct,0.003
40,organization,0.003
40,cdw,0.003
41,paycom,0.008
41,rx,0.005
41,cci,0.004
41,div,0.004
41,jd,0.003
41,impeachment,0.003
41,comey,0.003
41,crest,0.003
41,xbox,0.003
41,accident,0.003
42,q,0.014
42,infineon,0.007
42,acceleration,0.007
42,cc,0.006
42,tripadvisor,0.004
42,qorvo,0.004
42,unfavorable,0.004
42,hill,0.003
42,gambling,0.003
42,intuit,0.003
43,stadium,0.003
43,speech,0.003
43,cpi,0.003
43,kodak,0.003
43,mountain,0.003
43,extended,0.002
43,cny,0.002
43,s,0.002
43,pboc,0.002
43,advisor,0.002
44,microchip,0.017
44,seagate,0.007
44,volvo,0.007
44,kla,0.007
44,truck,0.004
44,atmel,0.004
44,tencor,0.003
44,nutanix,0.003
44,narrower,0.003
44,merit,0.003
