topic,word,weight
0,ml,0.009
0,epyc,0.004
0,fmc,0.004
0,paycom,0.003
0,discussed,0.003
0,finest,0.003
0,owing,0.003
0,rx,0.003
0,hpc,0.003
0,covered,0.003
1,robo,0.005
1,stratasys,0.004
1,tal,0.003
1,photo,0.003
1,bounce,0.002
1,printing,0.002
1,black,0.002
1,autodesk,0.002
1,oversold,0.002
1,translates,0.002
2,su,0.006
2,esports,0.005
2,lisa,0.005
2,ssd,0.005
2,sandisk,0.004
2,league,0.004
2,java,0.004
2,android,0.004
2,court,0.003
2,gambling,0.003
3,q,0.01
3,acceleration,0.006
3,mania,0.003
3,palladium,0.003
3,wizard,0.003
3,signoff,0.002
3,affiliated,0.002
3,rambus,0.002
3,joined,0.002
3,gmv,0.002
4,allocation,0.005
4,bh,0.004
4,reader,0.004
4,tracking,0.003
4,aum,0.003
4,write,0.002
4,amassed,0.002
4,athena,0.002
4,phlx,0.002
4,holmes,0.002
5,dave,0.007
5,ryan,0.004
5,ametek,0.004
5,hill,0.003
5,answer,0.003
5,hedge,0.003
5,bartosiak,0.003
5,hear,0.003
5,lunch,0.003
5,organic,0.003
6,synopsys,0.004
6,array,0.003
6,maintenance,0.003
6,verification,0.003
6,hybrid,0.002
6,fortinet,0.002
6,stadium,0.002
6,contracted,0.002
6,ntap,0.002
6,repurchased,0.002
7,ethernet,0.006
7,tilray,0.003
7,affiliated,0.003
7,wizard,0.002
7,dealer,0.002
7,coronavirus,0.002
7,joined,0.002
7,promise,0.002
7,adviser,0.002
7,click,0.002
8,israel,0.007
8,instance,0.005
8,cc,0.004
8,inference,0.004
8,workload,0.003
8,vmware,0.003
8,habana,0.003
8,sheraz,0.003
8,arya,0.003
8,plant,0.002
9,cognizant,0.007
9,epyc,0.005
9,flashblade,0.004
9,dxc,0.004
9,thematic,0.003
9,organization,0.003
9,twilio,0.003
9,storreduce,0.003
9,maxim,0.003
9,paylocity,0.003
10,marvell,0.007
10,mutual,0.004
10,covering,0.004
10,dxc,0.003
10,macy,0.003
10,amgen,0.003
10,ethernet,0.003
10,conclusively,0.003
10,ramp,0.003
10,invests,0.003
11,sma,0.016
11,arrow,0.006
11,facial,0.004
11,ansys,0.004
11,ranging,0.003
11,simulation,0.003
11,verifone,0.003
11,caci,0.003
11,saic,0.003
11,engages,0.003
12,robot,0.005
12,beta,0.005
12,infineon,0.004
12,visitor,0.003
12,prosecutor,0.003
12,aurora,0.002
12,qplum,0.002
12,flashstack,0.002
12,coronavirus,0.002
12,therapeutic,0.002
13,thank,0.003
13,melt,0.003
13,otc,0.002
13,allocation,0.002
13,yeah,0.002
13,cree,0.002
13,seek,0.002
13,perspective,0.002
13,vishay,0.002
13,hdd,0.002
14,proofpoint,0.004
14,broadridge,0.004
14,simulation,0.004
14,lipacis,0.003
14,jefferies,0.003
14,annualized,0.003
14,altair,0.003
14,detection,0.002
14,visa,0.002
14,engineering,0.002
15,rtx,0.008
15,accenture,0.006
15,peg,0.005
15,tracing,0.005
15,oracle,0.004
15,pascal,0.004
15,gtx,0.004
15,visualization,0.004
15,fireeye,0.004
15,forma,0.003
16,merchant,0.005
16,mutual,0.004
16,converged,0.004
16,shopify,0.003
16,array,0.003
16,hpe,0.003
16,fabric,0.002
16,ytd,0.002
16,seek,0.002
16,pe,0.002
17,alto,0.014
17,palo,0.009
17,stadium,0.006
17,gopro,0.005
17,saas,0.004
17,wedge,0.003
17,cci,0.003
17,billing,0.003
17,cara,0.002
17,tencent,0.002
18,gun,0.003
18,ge,0.003
18,qorvo,0.002
18,capitalization,0.002
18,kimball,0.002
18,idp,0.002
18,innovator,0.002
18,room,0.002
18,cook,0.002
18,airline,0.002
19,saudi,0.005
19,iran,0.004
19,pivot,0.004
19,soxx,0.004
19,extension,0.004
19,peg,0.004
19,wti,0.004
19,arabia,0.003
19,overnight,0.003
19,psi,0.003
20,groupon,0.005
20,tip,0.004
20,rtx,0.003
20,trap,0.002
20,otcpk,0.002
20,genome,0.002
20,turing,0.002
20,roic,0.002
20,ciena,0.002
20,billing,0.002
21,arora,0.003
21,smh,0.003
21,cdw,0.002
21,nigam,0.002
21,swing,0.002
21,vector,0.002
21,treasurer,0.002
21,beta,0.002
21,weighted,0.002
21,trendline,0.002
22,estimize,0.012
22,implied,0.01
22,community,0.004
22,tends,0.004
22,ti,0.003
22,fossil,0.003
22,swiss,0.003
22,tumbled,0.003
22,ftse,0.003
22,davita,0.003
23,rx,0.009
23,screening,0.005
23,xt,0.004
23,notebook,0.003
23,rtx,0.003
23,expedia,0.003
23,wizard,0.003
23,title,0.003
23,tracing,0.002
23,ebitda,0.002
24,phlx,0.004
24,ethernet,0.003
24,fortive,0.003
24,adapter,0.003
24,rut,0.002
24,sun,0.002
24,outbreak,0.002
24,strike,0.002
24,actively,0.002
24,token,0.002
25,instagram,0.004
25,mcafee,0.004
25,agency,0.003
25,truecar,0.003
25,johnson,0.002
25,cyber,0.002
25,advertiser,0.002
25,london,0.002
25,slumped,0.002
25,coronavirus,0.002
26,linear,0.006
26,charging,0.006
26,plummeting,0.006
26,reshaping,0.005
26,politics,0.005
26,geo,0.005
26,seagate,0.005
26,guzzler,0.005
26,shake,0.005
26,millionaire,0.005
27,apollo,0.006
27,lidar,0.003
27,komatsu,0.003
27,witness,0.002
27,servicenow,0.002
27,asic,0.002
27,bitmain,0.002
27,gartner,0.002
27,volta,0.002
27,notebook,0.002
28,cf,0.004
28,vertex,0.004
28,lesson,0.003
28,affect,0.002
28,affiliate,0.002
28,broker,0.002
28,publicly,0.002
28,mart,0.002
28,foregoing,0.002
28,universe,0.002
29,sony,0.005
29,hubspot,0.004
29,microchip,0.004
29,packard,0.003
29,ethereum,0.003
29,ca,0.003
29,hewlett,0.003
29,linkedin,0.002
29,underperforming,0.002
29,csra,0.002
30,dma,0.005
30,pivot,0.003
30,edged,0.003
30,cpi,0.003
30,uptrend,0.003
30,kla,0.003
30,technically,0.003
30,msci,0.003
30,overbought,0.002
30,gpv,0.002
31,avnet,0.005
31,mastercard,0.004
31,corning,0.004
31,allison,0.003
31,beta,0.003
31,glass,0.003
31,underperformed,0.003
31,udacity,0.003
31,aspen,0.003
31,suggests,0.003
32,coronavirus,0.008
32,virus,0.006
32,ameritrade,0.003
32,td,0.002
32,lately,0.002
32,weekend,0.002
32,anthem,0.002
32,housing,0.002
32,looked,0.002
32,iran,0.002
33,ambarella,0.009
33,whisper,0.006
33,accurate,0.005
33,movie,0.002
33,laser,0.002
33,fiserv,0.002
33,yahoo,0.002
33,agnico,0.002
33,influence,0.002
33,drone,0.002
34,agilent,0.011
34,volvo,0.005
34,teradata,0.004
34,microchip,0.004
34,yelp,0.003
34,poker,0.003
34,facial,0.003
34,truck,0.003
34,alexa,0.003
34,recognition,0.002
