nr_topics,coherence_values,perplexity_values
20,0.46872802579090067,-10.476224704024283
25,0.47638453152265137,-10.780176055316817
30,0.47789491661129485,-11.060737701407561
35,0.48999711768186793,-11.314595963468761
40,0.4870048850886747,-11.58592603278083
45,0.4942406678709825,-11.86710732582375
50,0.48083436898058146,-12.078530866024662
55,0.4897517599848666,-12.344962225032733
