nr_topics,coherence_values,perplexity_values
25,0.4783295149593508,-10.655704990195964
30,0.4816595770131159,-10.924485853090895
35,0.4712515379939725,-11.155779719268807
40,0.48390523812519903,-11.405126437887391
45,0.4675272580797181,-11.638371574581736
50,0.48625825437027453,-11.86540713335826
55,0.4852711838865668,-12.093313429099702
