nr_topics,coherence_values,perplexity_values
5,0.3698359481010326,-7.766250714146356
10,0.3801864432146543,-7.831774670542355
15,0.3708828971391309,-7.921746552924655
20,0.3740805577422726,-8.013043613401072
25,0.36344897664842984,-8.1061483969947
30,0.374198051513986,-8.19961237402402
35,0.36947532138166667,-8.280866952384477
