nr_topics,coherence_values,perplexity_values
40,0.48809376689568246,-11.422094333469547
45,0.4996020526665407,-11.66523589271244
50,0.4789722804131501,-11.863207048905013
55,0.5072283324501086,-12.080534909731995
60,0.49966446310929474,-12.287737816542837
65,0.4848794380750422,-12.505382654467383
70,0.5023707874256139,-12.738992318381536
