topic,word,weight
0,dealer,0.005
0,zettabyte,0.004
0,truecar,0.004
0,mall,0.003
0,brent,0.002
0,campos,0.002
0,unknown,0.002
0,sanction,0.002
0,anemic,0.002
0,rodrigo,0.002
1,infineon,0.015
1,stratasys,0.006
1,generating,0.006
1,cure,0.005
1,muscular,0.005
1,dystrophy,0.005
1,wondrous,0.005
1,hemophilia,0.005
1,leukemia,0.005
1,realize,0.004
2,extension,0.01
2,pivot,0.009
2,dxc,0.007
2,arora,0.006
2,wayfair,0.006
2,infected,0.006
2,statistic,0.005
2,wti,0.005
2,saudi,0.004
2,publish,0.004
3,avnet,0.008
3,cognizant,0.006
3,accenture,0.004
3,volta,0.004
3,rx,0.003
3,microchip,0.003
3,modem,0.003
3,omen,0.003
3,delivering,0.003
3,swan,0.003
4,ca,0.009
4,botz,0.007
4,linear,0.006
4,citron,0.004
4,bounce,0.004
4,turkish,0.003
4,caci,0.003
4,tencent,0.003
4,intraday,0.003
4,adobe,0.003
5,travel,0.005
5,expedia,0.004
5,arrow,0.004
5,zf,0.004
5,cree,0.003
5,peg,0.003
5,shanghai,0.003
5,pacific,0.003
5,msci,0.002
5,agency,0.002
6,drug,0.004
6,johnson,0.003
6,magnitude,0.002
6,gigabit,0.002
6,recipe,0.002
6,membership,0.002
6,click,0.002
6,crisis,0.002
6,downgrade,0.002
6,historical,0.002
7,accurate,0.007
7,estimize,0.007
7,gambling,0.005
7,packard,0.004
7,jabil,0.004
7,peg,0.004
7,developed,0.004
7,hewlett,0.003
7,carrying,0.003
7,spectre,0.003
8,hedge,0.006
8,neutral,0.004
8,therapeutic,0.003
8,shoulder,0.003
8,huntington,0.002
8,broke,0.002
8,solar,0.002
8,cite,0.002
8,threshold,0.002
8,nuance,0.002
9,lithium,0.008
9,charging,0.007
9,fortune,0.006
9,guzzler,0.006
9,geo,0.006
9,multiply,0.006
9,reshaping,0.006
9,plummeting,0.006
9,petroleum,0.005
9,politics,0.005
10,stadium,0.011
10,cypress,0.004
10,nxp,0.003
10,accurate,0.002
10,tencent,0.002
10,ecb,0.002
10,ftc,0.002
10,ic,0.002
10,title,0.002
10,norway,0.002
11,su,0.015
11,lisa,0.013
11,fireeye,0.012
11,melt,0.007
11,moore,0.005
11,sep,0.005
11,fantasy,0.004
11,ti,0.004
11,transistor,0.004
11,nm,0.004
12,ethernet,0.021
12,beta,0.009
12,adapter,0.007
12,johnson,0.006
12,proofpoint,0.006
12,infiniband,0.006
12,iron,0.004
12,bhp,0.004
12,billing,0.004
12,skechers,0.004
13,ethereum,0.007
13,coronavirus,0.007
13,kla,0.006
13,intuit,0.005
13,rbc,0.005
13,cdw,0.005
13,outbreak,0.004
13,xilinx,0.004
13,ether,0.004
13,virus,0.004
14,pct,0.004
14,hat,0.004
14,udacity,0.004
14,economist,0.003
14,housing,0.003
14,tilray,0.003
14,penney,0.003
14,tier,0.003
14,xilinx,0.003
14,ryan,0.003
15,merchant,0.018
15,arista,0.013
15,ebitda,0.007
15,routing,0.006
15,shopify,0.006
15,agency,0.005
15,bancshares,0.005
15,laser,0.005
15,mercedes,0.004
15,anet,0.004
16,promoting,0.007
16,arrow,0.006
16,horizon,0.005
16,starbucks,0.005
16,organized,0.004
16,qualitative,0.004
16,quantitative,0.004
16,tripled,0.004
16,broker,0.004
16,publicly,0.004
17,phlx,0.016
17,allocation,0.014
17,vector,0.013
17,psi,0.013
17,tracking,0.012
17,vaneck,0.012
17,soxx,0.01
17,aum,0.009
17,inbox,0.009
17,info,0.008
18,su,0.007
18,outbreak,0.006
18,barclays,0.005
18,lisa,0.005
18,div,0.004
18,maxim,0.004
18,rader,0.004
18,barc,0.004
18,underweight,0.004
18,illumina,0.003
19,peg,0.007
19,dave,0.006
19,write,0.005
19,brian,0.004
19,reader,0.004
19,zuckerberg,0.004
19,accuracy,0.003
19,prosecutor,0.003
19,tazr,0.003
19,streak,0.003
20,microchip,0.005
20,ml,0.005
20,array,0.005
20,box,0.004
20,esports,0.004
20,buyout,0.004
20,nvme,0.004
20,hybrid,0.003
20,allocation,0.003
20,notebook,0.003
21,marvell,0.016
21,ametek,0.011
21,amgen,0.007
21,organic,0.005
21,ssd,0.005
21,nanometer,0.004
21,file,0.004
21,contracted,0.003
21,exclusive,0.003
21,underperforming,0.003
22,sma,0.025
22,fng,0.006
22,mcafee,0.005
22,fpga,0.004
22,wu,0.004
22,stratix,0.003
22,ramsay,0.003
22,ranking,0.003
22,tended,0.003
22,indicative,0.003
23,paycom,0.009
23,broadridge,0.008
23,adobe,0.006
23,dst,0.005
23,recurring,0.005
23,blackrock,0.004
23,gun,0.003
23,coronavirus,0.003
23,scientific,0.003
23,estee,0.003
24,alto,0.007
24,israel,0.005
24,palo,0.004
24,crest,0.003
24,gate,0.003
24,teradata,0.003
24,circuit,0.002
24,tripadvisor,0.002
24,arcuri,0.002
24,membership,0.002
25,mutual,0.006
25,allison,0.004
25,invests,0.004
25,salesforce,0.003
25,seek,0.003
25,thematic,0.003
25,traction,0.003
25,apollo,0.003
25,instance,0.003
25,aspect,0.003
26,paylocity,0.012
26,saas,0.011
26,kimball,0.008
26,forma,0.008
26,death,0.006
26,variety,0.005
26,gauging,0.004
26,poured,0.004
26,hcm,0.004
26,deadly,0.004
27,epyc,0.008
27,constant,0.006
27,excluding,0.005
27,cc,0.005
27,sequential,0.004
27,owing,0.004
27,exited,0.004
27,expenditure,0.004
27,asp,0.004
27,drove,0.004
28,qorvo,0.007
28,priceline,0.004
28,idp,0.003
28,gan,0.003
28,unfavorable,0.003
28,forex,0.003
