topic,word,weight
0,sony,0.007
0,beta,0.006
0,hat,0.004
0,otc,0.004
0,hpc,0.003
0,controller,0.003
0,multi,0.003
0,xbox,0.003
0,rx,0.003
0,instance,0.003
1,arrow,0.007
1,tilray,0.006
1,corning,0.005
1,glass,0.004
1,ic,0.004
1,connectivity,0.004
1,arista,0.003
1,canopy,0.003
1,optical,0.003
1,cypress,0.003
2,alto,0.017
2,palo,0.011
2,arora,0.007
2,coin,0.006
2,nigam,0.005
2,cny,0.005
2,billing,0.005
2,aurora,0.004
2,pboc,0.003
2,eur,0.003
3,aspen,0.006
3,ciena,0.006
3,nxp,0.006
3,fedex,0.005
3,decrease,0.004
3,intangible,0.003
3,administrative,0.003
3,guidancemanagement,0.003
3,esio,0.003
3,amortization,0.003
4,adobe,0.003
4,tazr,0.003
4,gpv,0.002
4,exponential,0.002
4,message,0.002
4,macro,0.002
4,bernstein,0.002
4,mania,0.002
4,cook,0.002
4,yoy,0.002
5,accurate,0.008
5,steve,0.006
5,reitmeister,0.006
5,conclusively,0.005
5,confidential,0.005
5,cannabis,0.005
5,vp,0.005
5,triggered,0.004
5,prediction,0.004
5,shaping,0.004
6,implied,0.01
6,dave,0.005
6,underlying,0.003
6,allocation,0.003
6,refers,0.003
6,bubble,0.003
6,cause,0.003
6,averaged,0.003
6,simulation,0.003
6,therapeutic,0.002
7,fireeye,0.005
7,crest,0.004
7,pct,0.003
7,sap,0.003
7,hedge,0.003
7,cypress,0.003
7,exclusive,0.003
7,regard,0.003
7,hpe,0.002
7,cc,0.002
8,robo,0.007
8,visitor,0.004
8,robot,0.004
8,rockwell,0.004
8,jesse,0.004
8,ftxl,0.004
8,netgear,0.004
8,agency,0.003
8,allocation,0.003
8,amkor,0.003
9,jabil,0.005
9,ssd,0.005
9,oracle,0.004
9,identity,0.003
9,proofpoint,0.003
9,file,0.003
9,exclusive,0.003
9,outpaced,0.003
9,array,0.002
9,premise,0.002
10,lisa,0.008
10,su,0.007
10,beta,0.005
10,keysight,0.004
10,brian,0.003
10,write,0.003
10,nice,0.003
10,ramp,0.002
10,jim,0.002
10,reader,0.002
11,estimize,0.015
11,dave,0.013
11,expedia,0.007
11,udacity,0.007
11,community,0.006
11,vmware,0.005
11,wayfair,0.005
11,bartosiak,0.004
11,fossil,0.004
11,rambus,0.004
12,oracle,0.004
12,bh,0.004
12,spread,0.003
12,tencent,0.003
12,avnet,0.003
12,sma,0.003
12,msci,0.003
12,shanghai,0.003
12,stoxx,0.003
12,perspective,0.003
13,microchip,0.015
13,synopsys,0.011
13,ethernet,0.009
13,seagate,0.007
13,array,0.007
13,constant,0.006
13,maintenance,0.006
13,repurchased,0.005
13,converged,0.005
13,buyout,0.005
14,indicative,0.004
14,melt,0.004
14,click,0.003
14,stm,0.003
14,topic,0.003
14,answer,0.003
14,hill,0.003
14,yeah,0.002
14,tip,0.002
14,accurate,0.002
15,fork,0.006
15,otcpk,0.005
15,sep,0.005
15,gbps,0.003
15,cme,0.003
15,ethernet,0.003
15,exploding,0.003
15,yelp,0.002
15,urbn,0.002
15,institution,0.002
16,infected,0.007
16,tegra,0.007
16,gtx,0.005
16,forex,0.004
16,modem,0.004
16,compensation,0.003
16,rig,0.003
16,river,0.003
16,gt,0.003
16,annually,0.002
17,est,0.005
17,tripadvisor,0.005
17,twilio,0.005
17,kimball,0.005
17,pivot,0.004
17,academic,0.004
17,logic,0.003
17,veeva,0.003
17,lie,0.003
17,amgen,0.003
18,screening,0.007
18,rx,0.005
18,oversold,0.004
18,chang,0.004
18,finding,0.004
18,vulnerability,0.004
18,century,0.004
18,zumiez,0.004
18,treatment,0.004
18,erase,0.003
19,beta,0.007
19,fortive,0.006
19,gambling,0.005
19,mall,0.004
19,nfl,0.004
19,gogo,0.004
19,hill,0.003
19,yeah,0.003
19,twelve,0.003
19,boyd,0.003
20,fortinet,0.008
20,ametek,0.007
20,organic,0.005
20,chipset,0.005
20,court,0.004
20,omen,0.003
20,underperforming,0.003
20,kla,0.003
20,differentiated,0.002
20,xilinx,0.002
21,qorvo,0.009
21,mcafee,0.007
21,gartner,0.004
21,witness,0.004
21,marsh,0.004
21,idp,0.004
21,gan,0.004
21,buyout,0.004
21,stratix,0.004
21,mclennan,0.003
22,sandisk,0.006
22,ssd,0.006
22,barefoot,0.005
22,pandora,0.005
22,oculus,0.004
22,vp,0.004
22,headset,0.003
22,s,0.003
22,reitmeister,0.003
22,sony,0.003
23,commission,0.007
23,cci,0.004
23,antitrust,0.004
23,court,0.004
23,appeal,0.004
23,pinterest,0.003
23,ruling,0.003
23,lilly,0.003
23,mart,0.003
23,investigation,0.003
24,q,0.015
24,wizard,0.009
24,acceleration,0.006
24,trial,0.004
24,equal,0.004
24,parameter,0.003
24,screening,0.003
24,affiliated,0.003
24,ca,0.003
24,advisory,0.003
25,overnight,0.007
25,saudi,0.005
25,ftse,0.005
25,gopro,0.005
25,pound,0.004
25,london,0.003
25,arabia,0.003
25,sanction,0.003
25,stoxx,0.003
25,gbp,0.003
26,su,0.01
26,paycom,0.008
26,lisa,0.007
26,paylocity,0.007
26,saas,0.006
26,apr,0.004
26,div,0.004
26,recipe,0.004
26,wearable,0.003
26,kbr,0.003
27,groupon,0.003
27,btc,0.003
27,edged,0.003
27,opec,0.003
27,jd,0.003
27,ftse,0.003
27,indxx,0.003
27,yuan,0.003
27,dax,0.003
27,nikkei,0.003
28,sma,0.009
28,dxc,0.009
28,roic,0.004
28,merger,0.003
28,stable,0.003
28,cobots,0.003
28,robot,0.003
28,phlx,0.003
28,instagram,0.003
28,institutional,0.002
29,forma,0.006
29,sustainability,0.003
29,paychex,0.003
29,lately,0.003
29,construction,0.003
29,stimulus,0.003
29,compare,0.002
29,answer,0.002
29,dallas,0.002
29,looked,0.002
30,marvell,0.009
30,phlx,0.007
30,allocation,0.006
30,psi,0.006
30,vaneck,0.005
30,vector,0.005
30,soxx,0.005
30,tracking,0.004
30,info,0.004
30,aum,0.004
31,ml,0.009
31,tripadvisor,0.008
31,inference,0.006
31,technique,0.005
31,epyc,0.005
31,workload,0.004
31,thank,0.003
31,preceding,0.003
31,hasbro,0.003
31,instance,0.003
32,accenture,0.01
32,israel,0.007
32,ethernet,0.007
32,ml,0.006
32,kla,0.005
32,generating,0.004
32,cure,0.004
32,wondrous,0.003
32,sheraz,0.003
32,insurance,0.003
33,hubspot,0.007
33,macy,0.005
33,csra,0.005
33,narrower,0.003
33,ge,0.003
33,cme,0.002
33,impacted,0.002
33,coinbase,0.002
33,table,0.002
33,scientific,0.002
34,rtx,0.006
34,ti,0.003
34,gtx,0.003
34,sequential,0.003
34,truck,0.002
34,virus,0.002
34,cpi,0.002
34,economist,0.002
34,tracing,0.002
34,preliminary,0.002
35,esports,0.011
35,epyc,0.01
35,gen,0.004
35,instinct,0.004
35,jason,0.003
35,hpc,0.003
35,vertex,0.003
35,ml,0.003
35,paas,0.003
35,suite,0.002
36,priceline,0.006
36,rtx,0.006
36,adobe,0.005
36,java,0.005
36,tracing,0.004
36,skechers,0.004
36,mastercard,0.004
36,lidar,0.003
36,android,0.003
36,popped,0.003
37,coronavirus,0.004
37,cure,0.003
37,variety,0.003
37,generating,0.003
37,deadly,0.002
37,explains,0.002
37,virus,0.002
37,arya,0.002
37,flashpoint,0.002
37,court,0.002
38,pivot,0.006
38,extension,0.006
38,coronavirus,0.006
38,publish,0.004
38,statistic,0.004
38,rig,0.003
38,ethereum,0.003
38,ryan,0.003
38,bitmain,0.003
38,stockpile,0.002
39,ambarella,0.008
39,cree,0.007
39,packard,0.006
39,hewlett,0.005
39,cdw,0.004
39,socs,0.004
39,host,0.004
39,zf,0.003
39,ethernet,0.003
39,joined,0.003
40,station,0.007
40,geo,0.007
40,guzzler,0.007
40,millionaire,0.007
40,reshaping,0.007
40,multiply,0.007
40,ev,0.007
40,shake,0.007
40,lithium,0.006
40,plummeting,0.006
41,dealer,0.005
41,hotel,0.005
41,truecar,0.004
41,sand,0.004
41,hidden,0.004
41,oem,0.003
41,la,0.003
41,huntington,0.003
41,scientific,0.003
41,genius,0.002
42,mercedes,0.006
42,benz,0.005
42,zf,0.004
42,daimler,0.004
42,maxim,0.003
42,cockpit,0.003
42,infotainment,0.003
42,mexico,0.003
42,elliott,0.003
42,prototype,0.002
43,ethereum,0.013
43,linear,0.007
43,nordstrom,0.004
43,streak,0.004
43,ether,0.003
43,winklevoss,0.003
43,ea,0.003
43,j,0.003
43,france,0.002
43,lisa,0.002
44,agilent,0.012
44,merchant,0.01
44,shopify,0.007
44,autoliv,0.004
44,teradata,0.004
44,anthem,0.003
44,exabyte,0.003
44,sun,0.003
44,tal,0.003
44,cancer,0.003
45,verification,0.007
45,infineon,0.007
45,signoff,0.005
45,ic,0.004
45,mastercard,0.003
45,palladium,0.003
45,clara,0.003
45,protium,0.002
45,santa,0.002
45,downward,0.002
46,flashstack,0.008
46,counterstrike,0.006
46,dave,0.005
46,flashblade,0.005
46,flasharray,0.005
46,jeremy,0.005
46,reader,0.004
46,allocation,0.004
46,cv,0.004
46,giaquinto,0.004
47,coronavirus,0.007
47,stratasys,0.006
47,fmc,0.006
